Meter ID          ,Date / Time           ,KWH(ch: 1  set:0)    ,KVARH(ch: 2  set:0)  ,KWH(ch: 3  set:0)    ,KVAH(ch: 3  set:0)   ,PF(ch: 4  set:0)     ,KW(ch: 1  set:0)    ,KVAR(ch: 2  set:0)  ,KW(ch: 3  set:0)    ,KVA(0(ch: 3  set:0) ,PF(0(ch: 4  set:0)  ,, PV 17.7 kW Rated Suniva Array
H202010637868     ,2017/12/06 9:00,41.04,18,0,44.81,0.92,164.16,72,0,179.26,0.92,,2017/12/06 9:00,5.97
H202010637868     ,2017/12/06 9:15,40.77,18.18,0,44.64,0.91,163.08,72.72,0,178.56,0.91,,12/6/17 9:15,2.07
H202010637868     ,2017/12/06 9:30,40.41,18.36,0,44.39,0.91,161.64,73.44,0,177.54,0.91,,12/6/17 9:30,9.33
H202010637868     ,2017/12/06 9:45,40.68,18.27,0,44.59,0.91,162.72,73.08,0,178.38,0.91,,12/6/17 9:45,2.98
H202010637868     ,2017/12/06 10:00,40.41,18.45,0,44.42,0.91,161.64,73.8,0,177.69,0.91,,12/6/17 10:00,4.4
H202010637868     ,2017/12/06 10:15,41.13,19.08,0,45.34,0.91,164.52,76.32,0,181.36,0.91,,12/6/17 10:15,9.12
H202010637868     ,2017/12/06 10:30,41.49,18.9,0,45.59,0.91,165.96,75.6,0,182.37,0.91,,12/6/17 10:30,3.25
H202010637868     ,2017/12/06 10:45,42.75,18.63,0,46.63,0.92,171,74.52,0,186.53,0.92,,12/6/17 10:45,2.95
H202010637868     ,2017/12/06 11:00,44.01,18.81,0,47.86,0.92,176.04,75.24,0,191.44,0.92,,12/6/17 11:00,2.53
H202010637868     ,2017/12/06 11:15,45.27,18.63,0,48.95,0.92,181.08,74.52,0,195.81,0.92,,12/6/17 11:15,13.09
H202010637868     ,2017/12/06 11:30,46.26,18.9,0,49.97,0.93,185.04,75.6,0,199.89,0.93,,12/6/17 11:30,12.22
H202010637868     ,2017/12/06 11:45,45.72,18.81,0,49.44,0.92,182.88,75.24,0,197.75,0.92,,12/6/17 11:45,5.03
H202010637868     ,2017/12/06 12:00,46.71,18.63,0,50.29,0.93,186.84,74.52,0,201.15,0.93,,12/6/17 12:00,14.15
H202010637868     ,2017/12/06 12:15,47.52,18.81,0,51.11,0.93,190.08,75.24,0,204.43,0.93,,12/6/17 12:15,4.97
H202010637868     ,2017/12/06 12:30,45.9,19.08,0,49.71,0.92,183.6,76.32,0,198.83,0.92,,12/6/17 12:30,11.95
H202010637868     ,2017/12/06 12:45,45.45,19.17,0,49.33,0.92,181.8,76.68,0,197.31,0.92,,12/6/17 12:45,11.61
H202010637868     ,2017/12/06 13:00,45.09,19.26,0,49.03,0.92,180.36,77.04,0,196.12,0.92,,12/6/17 13:00,12.01
H202010637868     ,2017/12/06 13:15,45.81,19.26,0,49.69,0.92,183.24,77.04,0,198.78,0.92,,12/6/17 13:15,10.81
H202010637868     ,2017/12/06 13:30,46.44,19.53,0,50.38,0.92,185.76,78.12,0,201.52,0.92,,12/6/17 13:30,11.4
H202010637868     ,2017/12/06 13:45,45.9,19.89,0,50.02,0.92,183.6,79.56,0,200.1,0.92,,12/6/17 13:45,11.24
H202010637868     ,2017/12/06 14:00,45.45,19.62,0,49.5,0.92,181.8,78.48,0,198.02,0.92,,12/6/17 14:00,11.05
H202010637868     ,2017/12/06 14:15,45.72,19.8,0,49.82,0.92,182.88,79.2,0,199.29,0.92,,12/6/17 14:15,10.83
H202010637868     ,2017/12/06 14:30,44.19,19.53,0,48.31,0.91,176.76,78.12,0,193.25,0.91,,12/6/17 14:30,12.17
H202010637868     ,2017/12/06 14:45,44.37,19.89,0,48.62,0.91,177.48,79.56,0,194.5,0.91,,12/6/17 14:45,11.46
H202010637868     ,2017/12/06 15:00,46.17,20.61,0,50.56,0.91,184.68,82.44,0,202.25,0.91,,12/6/17 15:00,3.42
H202010637868     ,2017/12/06 15:15,47.25,20.79,0,51.62,0.92,189,83.16,0,206.49,0.92,,12/6/17 15:15,3.56
H202010637868     ,2017/12/06 15:30,47.07,20.7,0,51.42,0.92,188.28,82.8,0,205.68,0.92,,12/6/17 15:30,4.14
H202010637868     ,2017/12/06 15:45,46.17,20.97,0,50.71,0.91,184.68,83.88,0,202.84,0.91,,12/6/17 15:45,8.1
H202010637868     ,2017/12/06 16:00,45.36,20.79,0,49.9,0.91,181.44,83.16,0,199.59,0.91,,12/6/17 16:00,8.76
H202010637868     ,2017/12/06 16:15,45.54,21.15,0,50.21,0.91,182.16,84.6,0,200.85,0.91,,12/6/17 16:15,6.94
H202010637868     ,2017/12/06 16:30,45.27,20.79,0,49.82,0.91,181.08,83.16,0,199.26,0.91,,12/6/17 16:30,2.93
H202010637868     ,2017/12/06 16:45,44.91,20.61,0,49.41,0.91,179.64,82.44,0,197.65,0.91,,12/6/17 16:45,3.66
H202010637868     ,2017/12/06 17:00,43.2,20.16,0,47.67,0.91,172.8,80.64,0,190.69,0.91,,12/6/17 17:00,3.49
H202010637868     ,2017/12/06 17:15,43.38,20.25,0,47.87,0.91,173.52,81,0,191.49,0.91,,12/6/17 17:15,0.62
H202010637868     ,2017/12/06 17:30,41.94,19.08,0,46.08,0.91,167.76,76.32,0,184.3,0.91,,12/6/17 17:30,0.2
H202010637868     ,2017/12/06 17:45,40.77,18.09,0,44.6,0.91,163.08,72.36,0,178.41,0.91,,12/6/17 17:45,0.08
H202010637868     ,2017/12/06 18:00,41.4,18.45,0,45.33,0.91,165.6,73.8,0,181.3,0.91,,12/6/17 18:00,0.01
H202010637868     ,2017/12/06 18:15,41.67,18.45,0,45.57,0.91,166.68,73.8,0,182.29,0.91,,12/6/17 18:15,0.02
H202010637868     ,2017/12/06 18:30,41.13,18.27,0,45.01,0.91,164.52,73.08,0,180.02,0.91,,12/6/17 18:30,0.02
H202010637868     ,2017/12/06 18:45,40.41,18.09,0,44.27,0.91,161.64,72.36,0,177.1,0.91,,12/6/17 18:45,0.02
H202010637868     ,2017/12/06 19:00,39.6,18.09,0,43.54,0.91,158.4,72.36,0,174.15,0.91,,12/6/17 19:00,0.02
H202010637868     ,2017/12/06 19:15,38.97,18.27,0,43.04,0.91,155.88,73.08,0,172.16,0.91,,12/6/17 19:15,0.02
H202010637868     ,2017/12/06 19:30,38.7,18.18,0,42.76,0.91,154.8,72.72,0,171.03,0.91,,12/6/17 19:30,0.02
H202010637868     ,2017/12/06 19:45,38.43,18.18,0,42.51,0.9,153.72,72.72,0,170.05,0.9,,12/6/17 19:45,0.02
H202010637868     ,2017/12/06 20:00,38.61,17.91,0,42.56,0.91,154.44,71.64,0,170.25,0.91,,12/6/17 20:00,0.03
H202010637868     ,2017/12/06 20:15,38.07,18.18,0,42.19,0.9,152.28,72.72,0,168.75,0.9,,12/6/17 20:15,0.03
H202010637868     ,2017/12/06 20:30,37.8,18.27,0,41.98,0.9,151.2,73.08,0,167.93,0.9,,12/6/17 20:30,0.03
H202010637868     ,2017/12/06 20:45,37.89,18.36,0,42.1,0.9,151.56,73.44,0,168.42,0.9,,12/6/17 20:45,0.03
H202010637868     ,2017/12/06 21:00,36.9,18.54,0,41.3,0.89,147.6,74.16,0,165.18,0.89,,12/6/17 21:00,0.03
H202010637868     ,2017/12/06 21:15,36.72,17.19,0,40.54,0.91,146.88,68.76,0,162.18,0.91,,12/6/17 21:15,0.03
H202010637868     ,2017/12/06 21:30,36.36,16.83,0,40.07,0.91,145.44,67.32,0,160.26,0.91,,12/6/17 21:30,0.03
H202010637868     ,2017/12/06 21:45,36.27,16.65,0,39.91,0.91,145.08,66.6,0,159.64,0.91,,12/6/17 21:45,0.04
H202010637868     ,2017/12/06 22:00,36,16.65,0,39.66,0.91,144,66.6,0,158.66,0.91,,12/6/17 22:00,0.04
H202010637868     ,2017/12/06 22:15,35.91,16.65,0,39.58,0.91,143.64,66.6,0,158.33,0.91,,12/6/17 22:15,0.04
H202010637868     ,2017/12/06 22:30,36.27,16.56,0,39.87,0.91,145.08,66.24,0,159.49,0.91,,12/6/17 22:30,0.04
H202010637868     ,2017/12/06 22:45,35.73,16.2,0,39.23,0.91,142.92,64.8,0,156.92,0.91,,12/6/17 22:45,0.04
H202010637868     ,2017/12/06 23:00,35.82,16.29,0,39.35,0.91,143.28,65.16,0,157.4,0.91,,12/6/17 23:00,0.04
H202010637868     ,2017/12/06 23:15,35.82,16.29,0,39.35,0.91,143.28,65.16,0,157.4,0.91,,12/6/17 23:15,0.04
H202010637868     ,2017/12/06 23:30,35.91,16.38,0,39.47,0.91,143.64,65.52,0,157.88,0.91,,12/6/17 23:30,0.05
H202010637868     ,2017/12/06 23:45,35.73,16.29,0,39.27,0.91,142.92,65.16,0,157.07,0.91,,12/6/17 23:45,0.05
H202010637868     ,2017/12/07 0:00,35.82,16.38,0,39.39,0.91,143.28,65.52,0,157.55,0.91,,12/7/17 0:00,0.05
H202010637868     ,2017/12/07 0:15,35.64,16.47,0,39.26,0.91,142.56,65.88,0,157.05,0.91,,12/7/17 0:15,0.05
H202010637868     ,2017/12/07 0:30,35.91,16.65,0,39.58,0.91,143.64,66.6,0,158.33,0.91,,12/7/17 0:30,0.05
H202010637868     ,2017/12/07 0:45,35.19,16.29,0,38.78,0.91,140.76,65.16,0,155.11,0.91,,12/7/17 0:45,0.05
H202010637868     ,2017/12/07 1:00,35.28,16.38,0,38.9,0.91,141.12,65.52,0,155.59,0.91,,12/7/17 1:00,0.05
H202010637868     ,2017/12/07 1:15,35.19,16.38,0,38.82,0.91,140.76,65.52,0,155.26,0.91,,12/7/17 1:15,0.06
H202010637868     ,2017/12/07 1:30,35.28,16.56,0,38.97,0.91,141.12,66.24,0,155.89,0.91,,12/7/17 1:30,0.06
H202010637868     ,2017/12/07 1:45,35.1,16.65,0,38.85,0.9,140.4,66.6,0,155.4,0.9,,12/7/17 1:45,0.06
H202010637868     ,2017/12/07 2:00,35.1,16.56,0,38.81,0.9,140.4,66.24,0,155.24,0.9,,12/7/17 2:00,0.06
H202010637868     ,2017/12/07 2:15,35.19,16.74,0,38.97,0.9,140.76,66.96,0,155.88,0.9,,12/7/17 2:15,0.06
H202010637868     ,2017/12/07 2:30,34.74,16.56,0,38.49,0.9,138.96,66.24,0,153.94,0.9,,12/7/17 2:30,0.06
H202010637868     ,2017/12/07 2:45,34.83,16.56,0,38.57,0.9,139.32,66.24,0,154.27,0.9,,12/7/17 2:45,0.06
H202010637868     ,2017/12/07 3:00,34.65,16.38,0,38.33,0.9,138.6,65.52,0,153.31,0.9,,12/7/17 3:00,0.07
H202010637868     ,2017/12/07 3:15,34.56,16.65,0,38.36,0.9,138.24,66.6,0,153.45,0.9,,12/7/17 3:15,0.07
H202010637868     ,2017/12/07 3:30,34.92,16.92,0,38.8,0.9,139.68,67.68,0,155.21,0.9,,12/7/17 3:30,0.07
H202010637868     ,2017/12/07 3:45,34.56,17.1,0,38.56,0.9,138.24,68.4,0,154.24,0.9,,12/7/17 3:45,0.07
H202010637868     ,2017/12/07 4:00,34.56,17.19,0,38.6,0.9,138.24,68.76,0,154.4,0.9,,12/7/17 4:00,0.07
H202010637868     ,2017/12/07 4:15,33.84,16.92,0,37.83,0.89,135.36,67.68,0,151.34,0.89,,12/7/17 4:15,0.07
H202010637868     ,2017/12/07 4:30,34.02,17.19,0,38.12,0.89,136.08,68.76,0,152.47,0.89,,12/7/17 4:30,0.07
H202010637868     ,2017/12/07 4:45,33.66,16.56,0,37.51,0.9,134.64,66.24,0,150.05,0.9,,12/7/17 4:45,0.08
H202010637868     ,2017/12/07 5:00,33.57,16.56,0,37.43,0.9,134.28,66.24,0,149.73,0.9,,12/7/17 5:00,0.08
H202010637868     ,2017/12/07 5:15,33.75,16.29,0,37.48,0.9,135,65.16,0,149.9,0.9,,12/7/17 5:15,0.08
H202010637868     ,2017/12/07 5:30,33.93,16.47,0,37.72,0.9,135.72,65.88,0,150.86,0.9,,12/7/17 5:30,0.08
H202010637868     ,2017/12/07 5:45,34.74,16.74,0,38.56,0.9,138.96,66.96,0,154.25,0.9,,12/7/17 5:45,0.08
H202010637868     ,2017/12/07 6:00,34.38,16.74,0,38.24,0.9,137.52,66.96,0,152.96,0.9,,12/7/17 6:00,0.08
H202010637868     ,2017/12/07 6:15,35.19,17.01,0,39.09,0.9,140.76,68.04,0,156.34,0.9,,12/7/17 6:15,0.08
H202010637868     ,2017/12/07 6:30,35.82,16.74,0,39.54,0.91,143.28,66.96,0,158.15,0.91,,12/7/17 6:30,0.09
H202010637868     ,2017/12/07 6:45,35.64,16.83,0,39.41,0.9,142.56,67.32,0,157.66,0.9,,12/7/17 6:45,0.09
H202010637868     ,2017/12/07 7:00,35.64,16.92,0,39.45,0.9,142.56,67.68,0,157.81,0.9,,12/7/17 7:00,0.09
H202010637868     ,2017/12/07 7:15,35.55,16.65,0,39.26,0.91,142.2,66.6,0,157.02,0.91,,12/7/17 7:15,0.12
H202010637868     ,2017/12/07 7:30,36.36,16.65,0,39.99,0.91,145.44,66.6,0,159.96,0.91,,12/7/17 7:30,0.67
H202010637868     ,2017/12/07 7:45,35.73,16.38,0,39.31,0.91,142.92,65.52,0,157.22,0.91,,12/7/17 7:45,1.25
H202010637868     ,2017/12/07 8:00,36.54,16.56,0,40.12,0.91,146.16,66.24,0,160.47,0.91,,12/7/17 8:00,2.2
H202010637868     ,2017/12/07 8:15,37.08,16.83,0,40.72,0.91,148.32,67.32,0,162.88,0.91,,12/7/17 8:15,1.72
H202010637868     ,2017/12/07 8:30,37.71,16.92,0,41.33,0.91,150.84,67.68,0,165.33,0.91,,12/7/17 8:30,1.74
H202010637868     ,2017/12/07 8:45,38.16,16.92,0,41.74,0.91,152.64,67.68,0,166.97,0.91,,12/7/17 8:45,4.69
H202010637868     ,2017/12/07 9:00,39.78,16.83,0,43.19,0.92,159.12,67.32,0,172.77,0.92,,12/7/17 9:00,6.35
H202010637868     ,2017/12/07 9:15,40.05,16.83,0,43.44,0.92,160.2,67.32,0,173.77,0.92,,12/7/17 9:15,6.26
H202010637868     ,2017/12/07 9:30,41.85,17.28,0,45.28,0.92,167.4,69.12,0,181.11,0.92,,12/7/17 9:30,7.36
H202010637868     ,2017/12/07 9:45,43.92,17.73,0,47.36,0.93,175.68,70.92,0,189.45,0.93,,12/7/17 9:45,8.08
H202010637868     ,2017/12/07 10:00,44.55,17.73,0,47.95,0.93,178.2,70.92,0,191.79,0.93,,12/7/17 10:00,8.64
H202010637868     ,2017/12/07 10:15,44.64,17.82,0,48.07,0.93,178.56,71.28,0,192.26,0.93,,12/7/17 10:15,9.31
H202010637868     ,2017/12/07 10:30,43.56,17.28,0,46.86,0.93,174.24,69.12,0,187.45,0.93,,12/7/17 10:30,9.91
H202010637868     ,2017/12/07 10:45,45.72,18,0,49.14,0.93,182.88,72,0,196.54,0.93,,12/7/17 10:45,10.63
H202010637868     ,2017/12/07 11:00,45.99,18.27,0,49.49,0.93,183.96,73.08,0,197.94,0.93,,12/7/17 11:00,10.92
H202010637868     ,2017/12/07 11:15,43.92,17.28,0,47.2,0.93,175.68,69.12,0,188.79,0.93,,12/7/17 11:15,11.26
H202010637868     ,2017/12/07 11:30,43.74,17.46,0,47.1,0.93,174.96,69.84,0,188.38,0.93,,12/7/17 11:30,10.86
H202010637868     ,2017/12/07 11:45,43.11,17.73,0,46.61,0.92,172.44,70.92,0,186.45,0.92,,12/7/17 11:45,6.39
H202010637868     ,2017/12/07 12:00,44.46,18.27,0,48.07,0.92,177.84,73.08,0,192.27,0.92,,12/7/17 12:00,11.89
H202010637868     ,2017/12/07 12:15,45.18,18.09,0,48.67,0.93,180.72,72.36,0,194.67,0.93,,12/7/17 12:15,12.09
H202010637868     ,2017/12/07 12:30,46.8,18.36,0,50.27,0.93,187.2,73.44,0,201.09,0.93,,12/7/17 12:30,12.04
H202010637868     ,2017/12/07 12:45,45.72,18.09,0,49.17,0.93,182.88,72.36,0,196.68,0.93,,12/7/17 12:45,11.91
H202010637868     ,2017/12/07 13:00,46.26,18.18,0,49.7,0.93,185.04,72.72,0,198.82,0.93,,12/7/17 13:00,11.93
H202010637868     ,2017/12/07 13:15,45.36,18.18,0,48.87,0.93,181.44,72.72,0,195.47,0.93,,12/7/17 13:15,11.89
H202010637868     ,2017/12/07 13:30,44.73,18.09,0,48.25,0.93,178.92,72.36,0,193,0.93,,12/7/17 13:30,10.89
H202010637868     ,2017/12/07 13:45,46.17,18.9,0,49.89,0.93,184.68,75.6,0,199.55,0.93,,12/7/17 13:45,8.93
H202010637868     ,2017/12/07 14:00,47.16,19.17,0,50.91,0.93,188.64,76.68,0,203.63,0.93,,12/7/17 14:00,10.56
H202010637868     ,2017/12/07 14:15,45.45,18.63,0,49.12,0.93,181.8,74.52,0,196.48,0.93,,12/7/17 14:15,9.48
H202010637868     ,2017/12/07 14:30,45,18.72,0,48.74,0.92,180,74.88,0,194.95,0.92,,12/7/17 14:30,8.27
H202010637868     ,2017/12/07 14:45,45.45,19.08,0,49.29,0.92,181.8,76.32,0,197.17,0.92,,12/7/17 14:45,9.89
H202010637868     ,2017/12/07 15:00,46.17,18.9,0,49.89,0.93,184.68,75.6,0,199.55,0.93,,12/7/17 15:00,8.08
H202010637868     ,2017/12/07 15:15,47.25,19.26,0,51.02,0.93,189,77.04,0,204.1,0.93,,12/7/17 15:15,5.82
H202010637868     ,2017/12/07 15:30,47.25,18.9,0,50.89,0.93,189,75.6,0,203.56,0.93,,12/7/17 15:30,2.94
H202010637868     ,2017/12/07 15:45,46.35,18.99,0,50.09,0.93,185.4,75.96,0,200.36,0.93,,12/7/17 15:45,8.63
H202010637868     ,2017/12/07 16:00,44.1,18.18,0,47.7,0.92,176.4,72.72,0,190.8,0.92,,12/7/17 16:00,6.67
H202010637868     ,2017/12/07 16:15,43.11,18.09,0,46.75,0.92,172.44,72.36,0,187.01,0.92,,12/7/17 16:15,4.31
H202010637868     ,2017/12/07 16:30,42.75,18,0,46.38,0.92,171,72,0,185.54,0.92,,12/7/17 16:30,3.96
H202010637868     ,2017/12/07 16:45,43.11,18.36,0,46.86,0.92,172.44,73.44,0,187.43,0.92,,12/7/17 16:45,1.97
H202010637868     ,2017/12/07 17:00,43.38,18.36,0,47.11,0.92,173.52,73.44,0,188.42,0.92,,12/7/17 17:00,1.37
H202010637868     ,2017/12/07 17:15,42.84,18.63,0,46.72,0.92,171.36,74.52,0,186.86,0.92,,12/7/17 17:15,1.04
H202010637868     ,2017/12/07 17:30,42.84,18.36,0,46.61,0.92,171.36,73.44,0,186.43,0.92,,12/7/17 17:30,0.39
H202010637868     ,2017/12/07 17:45,42.12,17.64,0,45.66,0.92,168.48,70.56,0,182.66,0.92,,12/7/17 17:45,0.09
H202010637868     ,2017/12/07 18:00,41.4,17.55,0,44.97,0.92,165.6,70.2,0,179.86,0.92,,12/7/17 18:00,0.01
H202010637868     ,2017/12/07 18:15,41.13,17.64,0,44.75,0.92,164.52,70.56,0,179.01,0.92,,12/7/17 18:15,0.02
H202010637868     ,2017/12/07 18:30,41.31,17.64,0,44.92,0.92,165.24,70.56,0,179.67,0.92,,12/7/17 18:30,0.02
H202010637868     ,2017/12/07 18:45,40.86,17.64,0,44.51,0.92,163.44,70.56,0,178.02,0.92,,12/7/17 18:45,0.02
H202010637868     ,2017/12/07 19:00,40.5,17.28,0,44.03,0.92,162,69.12,0,176.13,0.92,,12/7/17 19:00,0.02
H202010637868     ,2017/12/07 19:15,39.96,17.28,0,43.54,0.92,159.84,69.12,0,174.14,0.92,,12/7/17 19:15,0.02
H202010637868     ,2017/12/07 19:30,39.6,17.28,0,43.21,0.92,158.4,69.12,0,172.82,0.92,,12/7/17 19:30,0.03
H202010637868     ,2017/12/07 19:45,39.06,17.19,0,42.68,0.92,156.24,68.76,0,170.7,0.92,,12/7/17 19:45,0.03
H202010637868     ,2017/12/07 20:00,39.06,17.55,0,42.82,0.91,156.24,70.2,0,171.29,0.91,,12/7/17 20:00,0.03
H202010637868     ,2017/12/07 20:15,38.52,17.28,0,42.22,0.91,154.08,69.12,0,168.87,0.91,,12/7/17 20:15,0.03
H202010637868     ,2017/12/07 20:30,38.61,17.37,0,42.34,0.91,154.44,69.48,0,169.35,0.91,,12/7/17 20:30,0.03
H202010637868     ,2017/12/07 20:45,38.25,17.01,0,41.86,0.91,153,68.04,0,167.45,0.91,,12/7/17 20:45,0.04
H202010637868     ,2017/12/07 21:00,38.07,17.01,0,41.7,0.91,152.28,68.04,0,166.79,0.91,,12/7/17 21:00,0.04
H202010637868     ,2017/12/07 21:15,37.71,17.28,0,41.48,0.91,150.84,69.12,0,165.92,0.91,,12/7/17 21:15,0.04
H202010637868     ,2017/12/07 21:30,37.17,16.92,0,40.84,0.91,148.68,67.68,0,163.36,0.91,,12/7/17 21:30,0.04
H202010637868     ,2017/12/07 21:45,37.53,17.01,0,41.2,0.91,150.12,68.04,0,164.82,0.91,,12/7/17 21:45,0.04
H202010637868     ,2017/12/07 22:00,37.44,17.01,0,41.12,0.91,149.76,68.04,0,164.49,0.91,,12/7/17 22:00,0.05
H202010637868     ,2017/12/07 22:15,38.25,17.64,0,42.12,0.91,153,70.56,0,168.49,0.91,,12/7/17 22:15,0.05
H202010637868     ,2017/12/07 22:30,37.71,17.91,0,41.75,0.9,150.84,71.64,0,166.99,0.9,,12/7/17 22:30,0.05
H202010637868     ,2017/12/07 22:45,37.35,17.82,0,41.38,0.9,149.4,71.28,0,165.53,0.9,,12/7/17 22:45,0.05
H202010637868     ,2017/12/07 23:00,37.26,17.82,0,41.3,0.9,149.04,71.28,0,165.21,0.9,,12/7/17 23:00,0.05
H202010637868     ,2017/12/07 23:15,37.17,17.91,0,41.26,0.9,148.68,71.64,0,165.04,0.9,,12/7/17 23:15,0.06
H202010637868     ,2017/12/07 23:30,36.99,17.82,0,41.06,0.9,147.96,71.28,0,164.23,0.9,,12/7/17 23:30,0.06
H202010637868     ,2017/12/07 23:45,36.9,18,0,41.06,0.9,147.6,72,0,164.22,0.9,,12/7/17 23:45,0.06
H202010637868     ,2017/12/08 0:00,37.17,17.82,0,41.22,0.9,148.68,71.28,0,164.88,0.9,,12/8/17 0:00,0.06
H202010637868     ,2017/12/08 0:15,36.9,17.82,0,40.98,0.9,147.6,71.28,0,163.91,0.9,,12/8/17 0:15,0.06
H202010637868     ,2017/12/08 0:30,37.08,17.46,0,40.99,0.9,148.32,69.84,0,163.94,0.9,,12/8/17 0:30,0.07
H202010637868     ,2017/12/08 0:45,36.36,17.1,0,40.18,0.9,145.44,68.4,0,160.72,0.9,,12/8/17 0:45,0.07
H202010637868     ,2017/12/08 1:00,36.45,17.19,0,40.3,0.9,145.8,68.76,0,161.2,0.9,,12/8/17 1:00,0.07
H202010637868     ,2017/12/08 1:15,36.54,17.37,0,40.46,0.9,146.16,69.48,0,161.83,0.9,,12/8/17 1:15,0.07
H202010637868     ,2017/12/08 1:30,36.72,17.28,0,40.58,0.9,146.88,69.12,0,162.33,0.9,,12/8/17 1:30,0.07
H202010637868     ,2017/12/08 1:45,36.36,17.37,0,40.3,0.9,145.44,69.48,0,161.18,0.9,,12/8/17 1:45,0.08
H202010637868     ,2017/12/08 2:00,36,16.92,0,39.78,0.91,144,67.68,0,159.11,0.91,,12/8/17 2:00,0.08
H202010637868     ,2017/12/08 2:15,36.27,16.74,0,39.95,0.91,145.08,66.96,0,159.79,0.91,,12/8/17 2:15,0.08
H202010637868     ,2017/12/08 2:30,35.91,16.65,0,39.58,0.91,143.64,66.6,0,158.33,0.91,,12/8/17 2:30,0.08
H202010637868     ,2017/12/08 2:45,35.64,16.65,0,39.34,0.91,142.56,66.6,0,157.35,0.91,,12/8/17 2:45,0.08
H202010637868     ,2017/12/08 3:00,35.55,16.47,0,39.18,0.91,142.2,65.88,0,156.72,0.91,,12/8/17 3:00,0.09
H202010637868     ,2017/12/08 3:15,35.46,16.47,0,39.1,0.91,141.84,65.88,0,156.39,0.91,,12/8/17 3:15,0.09
H202010637868     ,2017/12/08 3:30,35.37,16.47,0,39.02,0.91,141.48,65.88,0,156.07,0.91,,12/8/17 3:30,0.09
H202010637868     ,2017/12/08 3:45,35.01,16.65,0,38.77,0.9,140.04,66.6,0,155.07,0.9,,12/8/17 3:45,0.09
H202010637868     ,2017/12/08 4:00,35.19,16.74,0,38.97,0.9,140.76,66.96,0,155.88,0.9,,12/8/17 4:00,0.09
H202010637868     ,2017/12/08 4:15,35.1,16.74,0,38.89,0.9,140.4,66.96,0,155.55,0.9,,12/8/17 4:15,0.1
H202010637868     ,2017/12/08 4:30,34.83,16.92,0,38.72,0.9,139.32,67.68,0,154.89,0.9,,12/8/17 4:30,0.1
H202010637868     ,2017/12/08 4:45,34.92,16.92,0,38.8,0.9,139.68,67.68,0,155.21,0.9,,12/8/17 4:45,0.1
H202010637868     ,2017/12/08 5:00,34.65,16.65,0,38.44,0.9,138.6,66.6,0,153.77,0.9,,12/8/17 5:00,0.1
H202010637868     ,2017/12/08 5:15,34.29,16.65,0,38.12,0.9,137.16,66.6,0,152.47,0.9,,12/8/17 5:15,0.1
H202010637868     ,2017/12/08 5:30,34.65,16.74,0,38.48,0.9,138.6,66.96,0,153.93,0.9,,12/8/17 5:30,0.11
H202010637868     ,2017/12/08 5:45,35.28,17.28,0,39.28,0.9,141.12,69.12,0,157.14,0.9,,12/8/17 5:45,0.11
H202010637868     ,2017/12/08 6:00,35.01,17.28,0,39.04,0.9,140.04,69.12,0,156.17,0.9,,12/8/17 6:00,0.11
H202010637868     ,2017/12/08 6:15,35.01,17.28,0,39.04,0.9,140.04,69.12,0,156.17,0.9,,12/8/17 6:15,0.11
H202010637868     ,2017/12/08 6:30,35.19,17.1,0,39.12,0.9,140.76,68.4,0,156.5,0.9,,12/8/17 6:30,0.11
H202010637868     ,2017/12/08 6:45,35.91,17.1,0,39.77,0.9,143.64,68.4,0,159.09,0.9,,12/8/17 6:45,0.12
H202010637868     ,2017/12/08 7:00,36.45,17.28,0,40.34,0.9,145.8,69.12,0,161.35,0.9,,12/8/17 7:00,0.12
H202010637868     ,2017/12/08 7:15,37.08,17.1,0,40.83,0.91,148.32,68.4,0,163.33,0.91,,12/8/17 7:15,0.12
H202010637868     ,2017/12/08 7:30,37.26,17.1,0,41,0.91,149.04,68.4,0,163.99,0.91,,12/8/17 7:30,0.12
H202010637868     ,2017/12/08 7:45,35.82,16.74,0,39.54,0.91,143.28,66.96,0,158.15,0.91,,12/8/17 7:45,0.12
H202010637868     ,2017/12/08 8:00,35.28,16.65,0,39.01,0.9,141.12,66.6,0,156.05,0.9,,12/8/17 8:00,0.1
H202010637868     ,2017/12/08 8:15,35.64,16.29,0,39.19,0.91,142.56,65.16,0,156.75,0.91,,12/8/17 8:15,0.16
H202010637868     ,2017/12/08 8:30,36.81,16.74,0,40.44,0.91,147.24,66.96,0,161.75,0.91,,12/8/17 8:30,0.12
H202010637868     ,2017/12/08 8:45,37.53,17.28,0,41.32,0.91,150.12,69.12,0,165.27,0.91,,12/8/17 8:45,0.44
H202010637868     ,2017/12/08 9:00,38.88,17.19,0,42.51,0.91,155.52,68.76,0,170.04,0.91,,12/8/17 9:00,0.45
H202010637868     ,2017/12/08 9:15,39.33,17.55,0,43.07,0.91,157.32,70.2,0,172.27,0.91,,12/8/17 9:15,1.39
H202010637868     ,2017/12/08 9:30,40.14,17.46,0,43.77,0.92,160.56,69.84,0,175.09,0.92,,12/8/17 9:30,2.82
H202010637868     ,2017/12/08 9:45,41.22,17.37,0,44.73,0.92,164.88,69.48,0,178.92,0.92,,12/8/17 9:45,4.78
H202010637868     ,2017/12/08 10:00,42.75,17.55,0,46.21,0.93,171,70.2,0,184.85,0.93,,12/8/17 10:00,4.39
